id,gamescount,last_game_win,round_type_1,round_type_2,round_type_3,total_cards_done,total_length,total_lost,total_magic_used,total_win,turnir_counts,turnir_wins,type_1,type_2,visits,skill,magic_for_card,card_for_game,magic_for_game,games_for_visit,more_win_then_mean,more_length_then_mean,more_magic_then_mean
218490,39,0,0.0,0.0,0.0,1008,21572,8,31,31,0,0,1.0,0.0,3,0.7948717948717948,0.030723488602576808,25.846153846153847,0.7948717948717948,13.0,True,True,True
218492,3,0,0.0,0.0,0.0,108,949,0,3,3,0,0,1.0,0.0,1,1.0,0.027522935779816515,36.0,1.0,3.0,False,False,False
218493,7,0,0.0,0.0,0.0,290,3298,3,4,4,0,0,1.0,0.0,1,0.5714285714285714,0.013745704467353952,41.42857142857143,0.5714285714285714,7.0,False,True,False
218499,3,0,0.0,0.0,0.0,73,347,0,3,3,0,0,1.0,0.0,1,1.0,0.04054054054054054,24.333333333333332,1.0,3.0,False,False,False
218507,4,0,0.0,0.0,0.0,156,724,1,3,3,0,0,1.0,0.0,1,0.75,0.01910828025477707,39.0,0.75,4.0,False,False,False
218509,1,0,0.0,0.0,0.0,52,408,1,0,0,0,0,1.0,0.0,1,0.0,0.0,52.0,0.0,1.0,False,False,False
218508,12,1,0.0,0.0,0.0,438,3447,1,11,11,0,0,1.0,0.0,2,0.9166666666666666,0.025056947608200455,36.5,0.9166666666666666,6.0,True,True,True
218511,15,0,0.0,0.0,0.0,419,2001,0,15,15,0,0,1.0,0.0,1,1.0,0.03571428571428571,27.933333333333334,1.0,15.0,True,True,True
218526,16,0,0.0,0.0,0.0,541,2788,5,11,11,0,0,1.0,0.0,2,0.6875,0.02029520295202952,33.8125,0.6875,8.0,True,True,True
218528,12,0,0.0,0.0,0.0,240,5126,2,10,10,0,0,1.0,0.0,2,0.8333333333333334,0.04149377593360996,20.0,0.8333333333333334,6.0,True,True,True
218530,3,0,0.0,0.0,0.0,141,772,0,3,3,0,0,1.0,0.0,1,1.0,0.02112676056338028,47.0,1.0,3.0,False,False,False
218536,3,0,0.0,0.0,0.0,19,296,0,3,3,0,0,1.0,0.0,1,1.0,0.15,6.333333333333333,1.0,3.0,False,False,False
218535,3,0,0.0,0.0,0.0,104,581,1,2,2,0,0,1.0,0.0,1,0.6666666666666666,0.01904761904761905,34.666666666666664,0.6666666666666666,3.0,False,False,False
218550,3,0,0.0,0.0,0.0,156,608,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218556,14,0,0.0,0.0,0.0,457,3310,2,12,12,0,0,1.0,0.0,1,0.8571428571428571,0.026200873362445413,32.642857142857146,0.8571428571428571,14.0,True,True,True
